Transaction Date,Description,Amount,Transaction_Type
15-Jan-2025,STEAM PURCHASE,50.03,Debit
"Feb 22, 2025",H&M STORE 42,86.29,Debit
02/25/2025,SHELL STATION #221,55.36,Debit
"Feb 14, 2025",TARGET T-2812,74.34,Debit
2025-03-09,APPLE STORE #R1234,230.1,Debit
"Feb 26, 2025",GAS COMPANY,147.72,Debit
"Mar 06, 2025",COSTCO WHOLESALE,144.72,Debit
01/06/2025,ELECTRIC BILL,51.37,Debit
2025-02-05,STEAM PURCHASE,53.13,Debit
01/22/2025,METRO TICKET,33.25,Debit
2025-01-24,KFC Outlet 22,23.12,Debit
2025-03-15,PAYPAL *SPOTIFY,59.72,Debit
2025-02-27,ELECTRIC BILL,103.48,Debit
02/16/2025,H&M STORE 42,104.17,Debit
2025-02-19,Local Diner,37.43,Debit
26/03/2025,McDonalds #8492,32.06,Debit
02/02/2025,WM SUPERCENTER #382,83.79,Debit
09-Feb-2025,TARGET T-2812,33.32,Debit
14/02/2025,SHELL STATION #221,54.54,Debit
02-Feb-2025,LYFT RIDE PGH,17.02,Debit
07/02/2025,McDonalds #8492,19.15,Debit
03/17/2025,PAYPAL *SPOTIFY,38.61,Debit
27-Mar-2025,H&M STORE 42,69.27,Debit
"Jan 12, 2025",KFC Outlet 22,8.38,Debit
"Mar 28, 2025",ZARA MALL 09,154.45,Debit
31/03/2025,LYFT RIDE PGH,37.73,Debit
"Feb 27, 2025",AMAZON MKTP US*2R9,187.17,Debit
13/02/2025,COSTCO WHOLESALE,87.03,Debit
10/02/2025,APPLE STORE #R9999,2500.0,Debit
"Jan 24, 2025",PAYPAL *SPOTIFY,20.6,Debit
"Feb 13, 2025",COSTCO WHOLESALE,145.69,Debit
2025-03-02,UBER TRIP 284922 CA,37.33,Debit
26-Mar-2025,WATER BILL,168.34,Debit
26/02/2025,Netflix.com,66.36,Debit
"Feb 14, 2025",APPLE STORE #R1234,111.93,Debit
16-Mar-2025,WM SUPERCENTER #382,81.22,Debit
"Jan 29, 2025",LYFT RIDE PGH,46.3,Debit
"Feb 06, 2025",H&M STORE 42,247.49,Debit
2025-03-11,LOCAL GROCERY MART,101.46,Debit
08/02/2025,ELECTRIC BILL,179.15,Debit
21/01/2025,SPAR HYPERMARKET,25.41,Debit
03/13/2025,ELECTRIC BILL,84.68,Debit
2025-02-19,UBER TRIP 284922 CA,27.5,Debit
25-Feb-2025,H&M STORE 42,190.96,Debit
2025-03-06,SHELL STATION #221,51.33,Debit
10-Jan-2025,McDonalds #8492,24.1,Debit
13/03/2025,INTERNET CHARGES,133.8,Debit
03/25/2025,Dominos Pizza,13.13,Debit
03/15/2025,TARGET T-2812,205.66,Debit
24/03/2025,McDonalds #8492,22.44,Debit
"Mar 15, 2025",TARGET T-2812,182.05,Debit
2025-01-01,INTERNET CHARGES,160.18,Debit
02/06/2025,AMAZON MKTP US*2R9,168.27,Debit
"Feb 06, 2025",COSTCO WHOLESALE,34.23,Debit
28-Mar-2025,GAS COMPANY,95.53,Debit
02/18/2025,PAYPAL *SPOTIFY,9.99,Debit
03-Mar-2025,SPAR HYPERMARKET,121.15,Debit
"Mar 01, 2025",INTERNET CHARGES,141.26,Debit
08-Jan-2025,PAYPAL *SPOTIFY,39.65,Debit
"Mar 02, 2025",COSTCO WHOLESALE,82.1,Debit
05-Jan-2025,METRO TICKET,48.97,Debit
2025-03-03,COSTCO WHOLESALE,119.49,Debit
03/09/2025,INTERNET CHARGES,99.57,Debit
01/10/2025,METRO TICKET,16.98,Debit
"Jan 13, 2025",UBER TRIP 284922 CA,23.09,Debit
10-Mar-2025,METRO TICKET,15.29,Debit
30/03/2025,H&M STORE 42,66.04,Debit
01/13/2025,COSTCO WHOLESALE,25.65,Debit
22-Feb-2025,UBER TRIP 284922 CA,24.55,Debit
30-Jan-2025,Starbucks Store 0032,33.18,Debit
2025-01-27,WATER BILL,153.83,Debit
11/02/2025,Local Diner,15.73,Debit
01/03/2025,SHELL STATION #221,15.92,Debit
2025-01-26,H&M STORE 42,216.27,Debit
04/02/2025,LOCAL GROCERY MART,56.43,Debit
01/08/2025,INTERNET CHARGES,111.03,Debit
2025-03-30,SHELL STATION #221,50.07,Debit
21/01/2025,YELLOW CAB CO,56.61,Debit
03/26/2025,METRO TICKET,19.66,Debit
17/02/2025,CINEMA CITY,12.36,Debit
30-Mar-2025,Netflix.com,72.27,Debit
"Mar 27, 2025",COSTCO WHOLESALE,58.35,Debit
"Feb 28, 2025",INTERNET CHARGES,52.34,Debit
12-Jan-2025,KFC Outlet 22,34.03,Debit
11/03/2025,YELLOW CAB CO,24.7,Debit
25-Feb-2025,ELECTRIC BILL,151.03,Debit
"Feb 06, 2025",YELLOW CAB CO,44.56,Debit
"Jan 31, 2025",Local Diner,17.68,Debit
19/03/2025,INTERNET CHARGES,105.1,Debit
"Feb 04, 2025",COSTCO WHOLESALE,110.58,Debit
28-Mar-2025,McDonalds #8492,19.13,Debit
12/02/2025,ELECTRIC BILL,56.15,Debit
18-Feb-2025,WATER BILL,109.67,Debit
23/02/2025,SHELL STATION #221,31.77,Debit
"Feb 14, 2025",LOCAL GROCERY MART,127.57,Debit
